"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
4173,33.7,33.7,66.3,"Oberhof AG","Oberhof (AG)","Oberhof AG","Nein zur Aargauische Klimaschutzinitiative in Oberhof: 66,3 Prozent haben das Begehren abgelehnt.",,
4175,24.7,24.7,75.3,"Oeschgen AG","Oeschgen (AG)","Oeschgen AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Oeschgen. 75,3 Prozent haben sie verworfen.",,
4176,20.3,20.3,79.7,"Schwaderloch AG","Schwaderloch (AG)","Schwaderloch AG","Schwaderloch hat die Aargauische Klimaschutzinitiative mit 79,7 Prozent abgelehnt.",,
4177,21.1,21.1,78.9,"Sisseln AG","Sisseln (AG)","Sisseln AG","Nein zur Aargauische Klimaschutzinitiative in Sisseln: 78,9 Prozent haben das Begehren abgelehnt.",,
4181,28.7,28.7,71.3,"Wittnau AG","Wittnau (AG)","Wittnau AG","Wittnau hat die Aargauische Klimaschutzinitiative mit 71,3 Prozent abgelehnt.",,
4182,27.5,27.5,72.5,"Wölflinswil AG","Wölflinswil (AG)","Wölflinswil AG","Nein zur Aargauische Klimaschutzinitiative in Wölflinswil: 72,5 Prozent haben das Begehren abgelehnt.",,
4183,26,26,74,"Zeihen AG","Zeihen (AG)","Zeihen AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Zeihen. 74 Prozent haben sie verworfen.",,
4184,26.6,26.6,73.4,"Mettauertal AG","Mettauertal (AG)","Mettauertal AG","Nein zur Aargauische Klimaschutzinitiative in Mettauertal: 73,4 Prozent haben das Begehren abgelehnt.",,
4185,25.4,25.4,74.6,"Böztal AG","Böztal (AG)","Böztal AG","Nein zur Aargauische Klimaschutzinitiative in Böztal: 74,6 Prozent haben das Begehren abgelehnt.",,
4186,32.5,32.5,67.5,"Herznach-Ueken AG","Herznach-Ueken (AG)","Herznach-Ueken AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Herznach-Ueken. 67,5 Prozent haben sie verworfen.",,
4191,33.2,33.2,66.8,"Ammerswil AG","Ammerswil (AG)","Ammerswil AG","Nein zur Aargauische Klimaschutzinitiative in Ammerswil: 66,8 Prozent haben das Begehren abgelehnt.",,
4192,29.8,29.8,70.2,"Boniswil AG","Boniswil (AG)","Boniswil AG","Nein zur Aargauische Klimaschutzinitiative in Boniswil: 70,2 Prozent haben das Begehren abgelehnt.",,
4193,19.8,19.8,80.2,"Brunegg AG","Brunegg (AG)","Brunegg AG","Brunegg hat die Aargauische Klimaschutzinitiative mit 80,2 Prozent abgelehnt.",,
4194,22.9,22.9,77.1,"Dintikon AG","Dintikon (AG)","Dintikon AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Dintikon. 77,1 Prozent haben sie verworfen.",,
4195,20.3,20.3,79.7,"Egliswil AG","Egliswil (AG)","Egliswil AG","Egliswil hat die Aargauische Klimaschutzinitiative mit 79,7 Prozent abgelehnt.",,
4196,26.7,26.7,73.3,"Fahrwangen AG","Fahrwangen (AG)","Fahrwangen AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Fahrwangen. 73,3 Prozent haben sie verworfen.",,
4197,19.6,19.6,80.4,"Hallwil AG","Hallwil (AG)","Hallwil AG","Hallwil hat die Aargauische Klimaschutzinitiative mit 80,4 Prozent abgelehnt.",,
4198,25.5,25.5,74.5,"Hendschiken AG","Hendschiken (AG)","Hendschiken AG","Nein zur Aargauische Klimaschutzinitiative in Hendschiken: 74,5 Prozent haben das Begehren abgelehnt.",,
4199,19.5,19.5,80.5,"Holderbank AG","Holderbank (AG)","Holderbank AG","Nein zur Aargauische Klimaschutzinitiative in Holderbank AG: 80,5 Prozent haben das Begehren abgelehnt.",,
4200,21.9,21.9,78.1,"Hunzenschwil AG","Hunzenschwil (AG)","Hunzenschwil AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Hunzenschwil. 78,1 Prozent haben sie verworfen.",,
4201,50,0,0,"Lenzburg AG","Lenzburg (AG)","Lenzburg AG","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I risultati di questo comune non sono ancora noti."
4202,28.1,28.1,71.9,"Meisterschwanden AG","Meisterschwanden (AG)","Meisterschwanden AG","Meisterschwanden hat die Aargauische Klimaschutzinitiative mit 71,9 Prozent abgelehnt.",,
4203,29.4,29.4,70.6,"Möriken-Wildegg AG","Möriken-Wildegg (AG)","Möriken-Wildegg AG","Möriken-Wildegg hat die Aargauische Klimaschutzinitiative mit 70,6 Prozent abgelehnt.",,
4204,38.1,38.1,61.9,"Niederlenz AG","Niederlenz (AG)","Niederlenz AG","Niederlenz hat die Aargauische Klimaschutzinitiative mit 61,9 Prozent abgelehnt.",,
4205,25.7,25.7,74.3,"Othmarsingen AG","Othmarsingen (AG)","Othmarsingen AG","Keine Mehrheit für die Aargauische Klimaschutzinitiative in Othmarsingen. 74,3 Prozent haben sie verworfen.",,
4206,26.3,26.3,73.7,"Rupperswil AG","Rupperswil (AG)","Rupperswil AG","Rupperswil hat die Aargauische Klimaschutzinitiative mit 73,7 Prozent abgelehnt.",,
4207,30.5,30.5,69.5,"Schafisheim AG","Schafisheim (AG)","Schafisheim AG","Nein zur Aargauische Klimaschutzinitiative in Schafisheim: 69,5 Prozent haben das Begehren abgelehnt.",,
4208,25,25,75,"Seengen AG","Seengen (AG)","Seengen AG","Seengen hat die Aargauische Klimaschutzinitiative mit 75 Prozent abgelehnt.",,
4209,25.5,25.5,74.5,"Seon AG","Seon (AG)","Seon AG","Seon hat die Aargauische Klimaschutzinitiative mit 74,5 Prozent abgelehnt.",,
4210,38.3,38.3,61.7,"Staufen AG","Staufen (AG)","Staufen AG","Nein zur Aargauische Klimaschutzinitiative in Staufen: 61,7 Prozent haben das Begehren abgelehnt.",,
4221,20.7,20.7,79.3,"Abtwil AG","Abtwil (AG)","Abtwil AG","Abtwil hat die Aargauische Klimaschutzinitiative mit 79,3 Prozent abgelehnt.",,
4222,23.1,23.1,76.9,"Aristau AG","Aristau (AG)","Aristau AG","Nein zur Aargauische Klimaschutzinitiative in Aristau: 76,9 Prozent haben das Begehren abgelehnt.",,
4223,21.5,21.5,78.5,"Auw AG","Auw (AG)","Auw AG","Auw hat die Aargauische Klimaschutzinitiative mit 78,5 Prozent abgelehnt.",,
4224,17.3,17.3,82.7,"Beinwil (Freiamt) AG","Beinwil (Freiamt) (AG)","Beinwil (Freiamt) AG","Nein zur Aargauische Klimaschutzinitiative in Beinwil (Freiamt): 82,7 Prozent haben das Begehren abgelehnt.",,
4226,27.1,27.1,72.9,"Besenbüren AG","Besenbüren (AG)","Besenbüren AG","Nein zur Aargauische Klimaschutzinitiative in Besenbüren: 72,9 Prozent haben das Begehren abgelehnt.",,
4227,24.1,24.1,75.9,"Bettwil AG","Bettwil (AG)","Bettwil AG","Bettwil hat die Aargauische Klimaschutzinitiative mit 75,9 Prozent abgelehnt.",,
